flat_ind,lat,lon
13,6.96875,-77.50208
14,6.997916,-77.25625
15,6.997916,-77.035416
16,6.997916,-76.955414
17,6.9854164,-76.74792
18,6.9995832,-76.25792
20,6.8779163,-75.75042
21,6.997916,-75.63958
23,6.9987497,-75.06375
28,6.9995832,-73.88792
30,6.9987497,-73.28125
33,6.9987497,-72.56125
35,6.997916,-72.215416
36,6.997916,-71.949585
40,6.9995832,-70.982086
43,6.9987497,-70.10375
48,6.904583,-68.75208
51,6.94625,-68.00125
54,6.9570827,-67.25041
55,6.9995832,-67.06792
57,6.997916,-66.70958
60,6.9995832,-65.83708
61,6.9987497,-65.62375
63,6.997916,-65.24958
64,6.9970827,-64.99958
65,6.792083,-64.74958
66,6.98125,-64.25125
68,6.9987497,-63.848747
69,6.95875,-63.74875
72,6.9995832,-62.932915
74,6.9995832,-62.307915
88,6.9995832,-58.97708
89,6.7512503,-58.507915
90,6.99125,-58.49625
91,6.7804165,-58.182915
142,6.7070827,-77.46875
148,6.7495832,-75.847084
192,6.7487497,-64.81875
217,6.619583,-58.62208
220,6.5629168,-57.75708
221,6.5479164,-57.74625
345,6.454583,-58.607082
346,6.4645834,-58.582916
349,6.4004164,-57.59292
350,6.2929163,-57.38125
398,6.102083,-77.42375
477,6.24625,-57.53125
478,6.23625,-57.29708
479,6.1870832,-57.24208
526,5.82625,-77.27125
606,5.87875,-57.13875
607,5.789583,-57.137917
608,5.932083,-57.07125
609,5.95875,-57.01375
610,5.907916,-56.416252
611,5.850416,-56.142082
612,5.8120832,-55.925415
613,5.8395834,-55.912918
615,5.8479166,-55.098747
616,5.89625,-55.091248
618,5.725416,-54.007915
619,5.8720827,-54.168747
654,5.7079163,-77.27042
747,5.5879164,-54.00875
748,5.732917,-53.839584
750,5.5612497,-53.462914
751,5.5162497,-53.24875
782,5.45125,-77.402084
880,5.4279165,-52.987915
881,5.25875,-52.74708
910,5.142083,-77.35875
1007,5.5204163,-53.237915
1009,5.1470833,-52.640415
1010,5.0429163,-52.49125
1038,4.965416,-77.34209
1138,4.8479166,-52.255417
1139,4.79125,-52.13875
1166,4.7179165,-77.27042
1268,4.5512495,-51.927082
1294,4.28125,-77.38625
1396,4.4787493,-51.94875
1397,4.42875,-51.542915
1398,4.372916,-51.40625
1422,4.090416,-77.42792
1524,4.477083,-51.931248
1525,4.2020826,-51.619583
1527,4.1745834,-51.232914
1551,3.8129168,-77.09875
1654,4.1570835,-51.540417
1678,3.5187502,-77.31625
1679,3.7054167,-77.12292
1680,3.7954168,-77.12292
1783,3.7387495,-51.18375
1806,3.3079166,-77.48292
1807,3.4520826,-77.35875
1933,3.2179165,-77.52875
2061,2.8587494,-77.67625
2168,2.8112497,-50.95375
2186,2.6004162,-78.42792
2187,2.63875,-78.06292
2296,2.5045834,-50.807915
2313,2.427083,-78.559586
2315,2.652916,-78.11958
2316,2.6404161,-77.802086
2424,2.4754162,-50.862083
2425,2.2562494,-50.72625
2441,2.2020826,-78.69292
2551,2.2387495,-50.72708
2552,2.1345835,-50.712082
2553,2.0387497,-50.60125
2554,2.1029167,-50.38875
2568,1.7562494,-78.90625
2569,1.8045826,-78.53792
2681,1.9529161,-50.556248
2682,1.8062496,-50.35875
2683,1.8129168,-50.15625
2696,1.6404161,-78.99792
2812,1.677083,-49.927082
2824,1.4329166,-78.815414
2940,1.2279167,-50.060417
2949,1.0179167,-79.510414
2950,1.07125,-79.41708
2952,1.2029161,-78.940414
3067,1.2012501,-50.102917
3068,1.2287493,-49.90125
3076,0.87791634,-79.840416
3077,0.9387493,-79.642914
3078,1.0437498,-79.46792
3079,1.074583,-79.25708
3194,0.88958263,-50.292084
3196,0.95208263,-49.96958
3203,0.5445833,-80.00792
3204,0.9387493,-79.64875
3321,0.30375004,-50.70375
3322,0.69791603,-50.39125
3323,0.57791615,-50.14458
3449,0.45624924,-50.56625
3450,0.29541588,-50.302917
3451,0.40874958,-50.212917
3452,0.2887497,-49.903748
3453,0.2862501,-49.577084
3459,0.012916565,-80.097084
3460,0.24374962,-79.95125
3573,-0.25874996,-51.34625
3575,0.11291599,-51.000416
3576,0.2270832,-50.767918
3577,0.19541645,-50.502914
3578,0.030416489,-50.302082
3579,0.21791649,-50.220417
3580,0.007082939,-49.860416
3581,0.21624947,-49.646248
3582,-0.11875057,-49.76375
3586,-0.16458416,-80.26292
3587,-0.14208412,-80.23458
3702,-0.08708382,-51.25625
3703,-0.048749924,-51.202915
3704,-0.04458332,-50.86708
3705,-0.20208359,-50.53958
3706,-0.12708378,-50.37958
3707,-0.12708378,-50.22625
3708,-0.19208336,-49.86708
3709,-0.24458408,-49.612915
3710,-0.23291683,-49.404583
3711,-0.15541744,-49.167915
3714,-0.45875072,-80.45792
3829,-0.41791725,-51.437084
3830,-0.47041702,-51.432083
3832,-0.36708355,-50.802082
3842,-0.6412506,-80.33292
3843,-0.5170841,-80.442085
3959,-0.6612501,-51.083748
3960,-0.6229172,-50.800415
3961,-0.6329174,-50.674583
3968,-0.9562502,-80.78375
3969,-0.79791737,-80.52042
4096,-1.2329178,-80.824585
4224,-1.2745838,-80.792915
4225,-1.3520832,-80.737915
4352,-1.6745834,-80.81292
4474,-1.7837505,-50.31625
4475,-1.6879177,-50.056248
4477,-1.7337513,-49.727917
4478,-1.6387501,-49.47625
4479,-1.5237503,-49.08875
4480,-1.7895832,-80.75792
4601,-1.802084,-50.362083
4602,-1.8837509,-50.42125
4603,-1.8962498,-50.182915
4604,-1.9370842,-49.849583
4605,-1.8720837,-49.65625
4606,-1.7587509,-49.38625
4607,-1.8920841,-49.16625
4608,-2.1420841,-80.77875
4609,-2.0229168,-80.73541
4611,-2.2820835,-79.96625
4734,-2.1920834,-49.395416
4735,-1.7779179,-48.942917
4736,-2.2779179,-80.919586
4737,-2.3987503,-80.682915
4739,-2.4887505,-80.082085
4740,-2.3987503,-79.84292
4741,-2.470417,-79.74792
4858,-1.9370842,-50.43458
4861,-2.178751,-49.42625
4863,-2.4920845,-49.000416
4865,-2.5220833,-80.54625
4866,-2.61125,-80.28125
4867,-2.5279179,-80.17958
4868,-2.7354164,-79.79208
4869,-2.597084,-79.71625
4995,-2.8512497,-80.10125
4996,-2.947918,-79.85208
5124,-3.2062511,-79.972916
5125,-2.9945831,-79.84292
5250,-3.4587498,-80.34209
5251,-3.4162502,-80.06208
5252,-3.072918,-79.887085
5377,-3.7129173,-80.72958
5378,-3.5062504,-80.497086
5379,-3.4362507,-80.19375
5504,-3.8937511,-80.85375
5507,-3.425417,-80.24208
5632,-4.0020847,-80.98875
5759,-4.12125,-49.002083
5760,-4.4579163,-80.99875
6016,-4.909584,-80.99792
6400,-5.5629177,-80.87542
6528,-5.802084,-80.85625
6656,-6.07625,-80.81625
6784,-6.3062496,-80.77125
6785,-6.3845844,-80.60208
6911,-6.2504177,-49.007915
6914,-6.5020847,-80.37458
6915,-6.6637497,-80.09375
7039,-6.692917,-49.000416
7044,-6.911251,-79.892914
7167,-6.787918,-49.000416
7172,-7.005417,-79.79791
7173,-7.0787506,-79.722916
7174,-7.1970844,-79.67375
7301,-7.3320847,-79.590416
7429,-7.5670834,-79.502914
7430,-7.6170845,-79.46792
7558,-7.9362507,-79.29708
7559,-7.9837513,-79.22875
7687,-8.162085,-79.03709
7816,-8.491251,-78.86875
7945,-8.630417,-78.74792
8072,-8.768751,-78.75708
8073,-8.972084,-78.64708
8201,-9.092083,-78.57542
8202,-9.257084,-78.49458
8330,-9.450417,-78.38292
8459,-9.796251,-78.22708
8587,-9.939585,-78.22708
8715,-10.087084,-78.167915
8843,-10.297085,-78.06125
8844,-10.667084,-77.84458
8845,-10.672085,-77.839584
8972,-10.733751,-77.79375
9101,-10.856251,-77.70375
9229,-11.084583,-77.627914
9343,-11.123751,-49.001247
9357,-11.329584,-77.59209
9358,-11.447084,-77.38458
9486,-11.612917,-77.25208
9615,-11.937918,-77.13875
9727,-11.960417,-49.002083
9743,-12.038752,-77.14208
9855,-12.248751,-49.01125
9872,-12.272917,-76.90041
9873,-12.293751,-76.86375
9983,-12.447084,-49.000416
10000,-12.528751,-76.76375
10001,-12.674583,-76.66208
10129,-12.803751,-76.56375
10130,-13.0929165,-76.42958
10258,-13.126251,-76.40375
10386,-13.285418,-76.27292
10387,-13.462917,-76.18792
10495,-13.40625,-49.002083
10515,-13.682083,-76.21958
10642,-13.9920845,-76.27458
10643,-13.847918,-76.24958
10770,-14.052084,-76.260414
10771,-14.172918,-76.198746
10772,-14.10375,-75.87375
10879,-14.090418,-49.002083
10899,-14.321251,-76.10625
10900,-14.348751,-75.84625
11007,-14.45875,-49.001247
11028,-14.634584,-75.92291
11157,-14.884584,-75.54791
11158,-14.992918,-75.45375
11263,-14.751251,-49.15125
11286,-15.167917,-75.277916
11391,-15.000418,-49.13708
11415,-15.350418,-75.152084
11416,-15.573751,-74.80875
11418,-15.697918,-74.54042
11421,-15.303751,-73.70125
11544,-15.567917,-74.82542
11545,-15.6570835,-74.65041
11546,-15.707918,-74.497086
11547,-15.833752,-74.29125
11674,-15.847918,-74.260414
11675,-15.917917,-74.11958
11804,-16.177917,-73.76708
11805,-16.23125,-73.61875
11806,-16.407084,-73.24208
11809,-16.54875,-72.86875
11933,-16.252918,-73.54542
11934,-16.312918,-73.37125
11935,-16.452917,-73.10875
11936,-16.472918,-73.07958
12064,-16.62375,-72.77625
12065,-16.662085,-72.627914
12066,-16.722084,-72.425415
12194,-16.827084,-72.29708
12195,-16.89875,-72.22708
12203,-16.86125,-70.05125
12323,-17.01875,-72.04625
12324,-17.16792,-71.84541
12331,-17.348751,-70.27375
12453,-17.254585,-71.54208
12454,-17.388752,-71.39708
12543,-17.439583,-49.002083
12582,-17.622086,-71.34375
12712,-17.911251,-70.97875
12715,-18.305416,-70.43708
12799,-17.952919,-49.000416
12841,-18.162918,-70.67458
12842,-18.228752,-70.55708
12847,-18.24125,-69.16875
12969,-18.25792,-70.50792
12970,-18.422085,-70.32042
12971,-18.365417,-70.362915
13055,-18.267918,-49.000416
13098,-18.470417,-70.317085
13226,-18.755417,-70.33791
13231,-18.841251,-69.05125
13354,-19.187916,-70.27208
13363,-19.186253,-68.12625
13611,-19.555416,-70.207085
13739,-19.879585,-70.13208
13867,-20.061253,-70.06625
13878,-20.201252,-67.41125
13995,-20.403751,-70.03125
13996,-20.278751,-69.97125
14000,-20.29375,-68.85625
14002,-20.318752,-68.49875
14123,-20.655418,-70.182915
14124,-20.661251,-69.94125
14129,-20.631252,-68.63875
14207,-20.524586,-49.002083
14251,-20.881252,-70.02875
14253,-20.81625,-69.68125
14258,-20.966251,-68.301254
14271,-20.876251,-65.00125
14507,-21.425419,-70.06208
14514,-21.49125,-68.31125
14635,-21.712917,-70.14542
14636,-21.54375,-69.91875
14643,-21.561253,-68.051254
14644,-21.681252,-67.76375
14646,-21.623753,-67.49875
14659,-21.747917,-64.06458
14684,-21.748753,-57.94625
14763,-21.845417,-70.142914
14769,-21.998753,-68.60875
14772,-21.888752,-67.84625
14773,-21.931252,-67.58125
14780,-21.998753,-65.95625
14786,-21.998753,-64.31125
14788,-21.999584,-63.812916
14791,-21.923752,-63.00125
14792,-21.997917,-62.80625
14811,-21.999584,-58.167084
14812,-21.998753,-57.918747
14813,-21.88375,-57.74875
14814,-21.999584,-57.39792
14816,-21.998753,-56.856247
14817,-21.998753,-56.653748
14818,-21.998753,-56.348747
14828,-21.999584,-53.762085
14829,-21.998753,-53.742916
14830,-21.832916,-53.49875
14831,-21.999584,-53.237083
14832,-21.999584,-52.782917
14833,-21.997917,-52.505417
14834,-21.997917,-52.360416
